gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000000003	TSPAN6	8	0	8501	4508	3	2	6564	4093
ENSG00000000005	TNMD	0	0	70	30	0	0	3	0
ENSG00000000419	DPM1	4166	3646.999	1991.999	857	6371.001	8874	10980.001	10576.999
ENSG00000000457	SCYL3	1999	1638.001	633.001	434.001	995	1496	2071.999	2134
ENSG00000000460	C1orf112	1873.999	1664	3705	1777.001	2876	2994.999	4209.999	3500
ENSG00000000938	FGR	9870	11004	140	108	1	2	0	4
ENSG00000000971	CFH	2	0	0	1	6889	7771.001	14.447	10
ENSG00000001036	FUCA2	2133	2125	3345	1758	6697	7740	5881	7527
ENSG00000001084	GCLC	1757	1786	3116	1870.999	742.001	1480	6220	5971.999
ENSG00000001167	NFYA	3326	3730	2459	1934	3076	3386	3382	2648
ENSG00000001460	STPG1	29	20	1709.001	1353.999	537.999	512	483	407
ENSG00000001461	NIPAL3	432	553	1499.001	1188.999	2384	2780	1980.001	1808
ENSG00000001497	LAS1L	7048	6639	6215	6714	10898.001	14763.001	5853	7582
ENSG00000001561	ENPP4	871	650	620	299	0	0	1261	1372
ENSG00000001617	SEMA3F	0	1	4500	6685.001	135	152.001	3033	4152.001
ENSG00000001626	CFTR	7	2	288.001	68	0	0	1	2
ENSG00000001629	ANKIB1	4519	3844	5541.001	3127	2837	3025	18160	17432.999
ENSG00000001630	CYP51A1	7309.851	6073.995	2132.965	1927.999	8717.994	10898.951	5736.484	6008.735
ENSG00000001631	KRIT1	3153.708	2355.757	1490.796	801.828	4622.876	5730.163	5224.078	5022.801
ENSG00000002016	RAD52	598	683	1413.009	913.999	823.999	787.001	863.012	893.12
ENSG00000002079	MYH16	4	1	1	0	1	8	34	32
ENSG00000002330	BAD	1886	2508	1802	1629.999	1272	1343.999	600.999	914
ENSG00000002549	LAP3	12173.999	10642.002	3245	1787	6994.001	8780	5639.994	6735.001
ENSG00000002586	CD99	10167	10049.001	2072	2639	1798	1965	1720	3386.999
ENSG00000002587	HS3ST1	46	27	177	163	0	0	22	14
ENSG00000002726	AOC1	0	0	27	28	0	0	0	2
ENSG00000002745	WNT16	3	0	14	35	0	0	63	45
ENSG00000002746	HECW1	15	0	495	592	6	0	16	25
ENSG00000002822	MAD1L1	2241.001	2670.001	2506	2817.99	1854	2442.001	1408.998	2449.001
ENSG00000002834	LASP1	15497	16594	18682.002	22603	12262	17452	8338	10313
ENSG00000002919	SNX11	5261	5126	3094.999	2086.001	1311.001	1549.001	2205.999	2293.001
ENSG00000002933	TMEM176A	0	0	84	51	0	0	0	0
ENSG00000003056	M6PR	9742	8887	8460	5061.999	7849	8652.999	11636.001	12723.001
ENSG00000003096	KLHL13	1869	1577	1366.942	707	397	353	2051.999	1680
ENSG00000003137	CYP26B1	0	0	19	45	0	0	293	481.001
ENSG00000003147	ICA1	120.999	107.999	2014.999	1118	1367	1671	4449.001	4384.999
ENSG00000003249	DBNDD1	96	138	11485	13206.001	911	957	2780	4429.999
ENSG00000003393	ALS2	1667	1501	4031.999	2847	2399.999	2398.999	3872	3616
ENSG00000003400	CASP10	1556.001	1539	631.001	473.999	1510.999	1762	89	103
ENSG00000003402	CFLAR	11265.999	10468.003	869.001	605.999	6205.001	8082.002	4470.628	4026
ENSG00000003436	TFPI	30	6	335	97.999	5253.999	6885.001	172.999	239.999
ENSG00000003509	NDUFAF7	2607.999	1889.999	4311	2475.999	2353.001	2622.999	1854	1882.001
ENSG00000003756	RBM5	13638	11760.997	13848.908	9091.138	6754.001	9105.002	26994.195	27652
ENSG00000003987	MTMR7	2	1	556	311	0	0	313.999	470.999
ENSG00000003989	SLC7A2	0	0	3301	2660	0	0	16615	40664
